Time_Index,Price_tonne_z1,Price_tonne_z2,Price_tonne_z3,Price_tonne_z4,Price_tonne_z5,Price_tonne_z6,Price_tonne_z7,Price_tonne_z8,Price_tonne_z9
1,400,400,400,400,400,400,400,400,400
2,400,400,400,400,400,400,400,400,400
3,400,400,400,400,400,400,400,400,400
4,400,400,400,400,400,400,400,400,400
5,400,400,400,400,400,400,400,400,400
6,400,400,400,400,400,400,400,400,400
7,400,400,400,400,400,400,400,400,400
8,400,400,400,400,400,400,400,400,400
9,400,400,400,400,400,400,400,400,400
10,400,400,400,400,400,400,400,400,400
11,400,400,400,400,400,400,400,400,400
12,400,400,400,400,400,400,400,400,400
13,400,400,400,400,400,400,400,400,400
14,400,400,400,400,400,400,400,400,400
15,400,400,400,400,400,400,400,400,400
16,400,400,400,400,400,400,400,400,400
17,400,400,400,400,400,400,400,400,400
18,400,400,400,400,400,400,400,400,400
19,400,400,400,400,400,400,400,400,400
20,400,400,400,400,400,400,400,400,400
21,400,400,400,400,400,400,400,400,400
22,400,400,400,400,400,400,400,400,400
23,400,400,400,400,400,400,400,400,400
24,400,400,400,400,400,400,400,400,400
25,400,400,400,400,400,400,400,400,400
26,400,400,400,400,400,400,400,400,400
27,400,400,400,400,400,400,400,400,400
28,400,400,400,400,400,400,400,400,400
29,400,400,400,400,400,400,400,400,400
30,400,400,400,400,400,400,400,400,400
31,400,400,400,400,400,400,400,400,400
32,400,400,400,400,400,400,400,400,400
33,400,400,400,400,400,400,400,400,400
34,400,400,400,400,400,400,400,400,400
35,400,400,400,400,400,400,400,400,400
36,400,400,400,400,400,400,400,400,400
37,400,400,400,400,400,400,400,400,400
38,400,400,400,400,400,400,400,400,400
39,400,400,400,400,400,400,400,400,400
40,400,400,400,400,400,400,400,400,400
41,400,400,400,400,400,400,400,400,400
42,400,400,400,400,400,400,400,400,400
43,400,400,400,400,400,400,400,400,400
44,400,400,400,400,400,400,400,400,400
45,400,400,400,400,400,400,400,400,400
46,400,400,400,400,400,400,400,400,400
47,400,400,400,400,400,400,400,400,400
48,400,400,400,400,400,400,400,400,400
49,400,400,400,400,400,400,400,400,400
50,400,400,400,400,400,400,400,400,400
51,400,400,400,400,400,400,400,400,400
52,400,400,400,400,400,400,400,400,400
53,400,400,400,400,400,400,400,400,400
54,400,400,400,400,400,400,400,400,400
55,400,400,400,400,400,400,400,400,400
56,400,400,400,400,400,400,400,400,400
