Time_Index,Demand_Zero,Ethylene_Global_Demand
1,0,5707.76275
2,0,5707.76275
3,0,5707.76275
4,0,5707.76275
5,0,5707.76275
6,0,5707.76275
7,0,5707.76275
8,0,5707.76275
9,0,5707.76275
10,0,5707.76275
11,0,5707.76275
12,0,5707.76275
13,0,5707.76275
14,0,5707.76275
15,0,5707.76275
16,0,5707.76275
17,0,5707.76275
18,0,5707.76275
19,0,5707.76275
20,0,5707.76275
21,0,5707.76275
22,0,5707.76275
23,0,5707.76275
24,0,5707.76275
25,0,5707.76275
26,0,5707.76275
27,0,5707.76275
28,0,5707.76275
29,0,5707.76275
30,0,5707.76275
31,0,5707.76275
32,0,5707.76275
33,0,5707.76275
34,0,5707.76275
35,0,5707.76275
36,0,5707.76275
37,0,5707.76275
38,0,5707.76275
39,0,5707.76275
40,0,5707.76275
41,0,5707.76275
42,0,5707.76275
43,0,5707.76275
44,0,5707.76275
45,0,5707.76275
46,0,5707.76275
47,0,5707.76275
48,0,5707.76275
49,0,5707.76275
50,0,5707.76275
51,0,5707.76275
52,0,5707.76275
53,0,5707.76275
54,0,5707.76275
55,0,5707.76275
56,0,5707.76275
57,0,5707.76275
58,0,5707.76275
59,0,5707.76275
60,0,5707.76275
61,0,5707.76275
62,0,5707.76275
63,0,5707.76275
64,0,5707.76275
65,0,5707.76275
66,0,5707.76275
67,0,5707.76275
68,0,5707.76275
69,0,5707.76275
70,0,5707.76275
71,0,5707.76275
72,0,5707.76275
73,0,5707.76275
74,0,5707.76275
75,0,5707.76275
76,0,5707.76275
77,0,5707.76275
78,0,5707.76275
79,0,5707.76275
80,0,5707.76275
81,0,5707.76275
82,0,5707.76275
83,0,5707.76275
84,0,5707.76275
85,0,5707.76275
86,0,5707.76275
87,0,5707.76275
88,0,5707.76275
89,0,5707.76275
90,0,5707.76275
91,0,5707.76275
92,0,5707.76275
93,0,5707.76275
94,0,5707.76275
95,0,5707.76275
96,0,5707.76275
97,0,5707.76275
98,0,5707.76275
99,0,5707.76275
100,0,5707.76275
101,0,5707.76275
102,0,5707.76275
103,0,5707.76275
104,0,5707.76275
105,0,5707.76275
106,0,5707.76275
107,0,5707.76275
108,0,5707.76275
109,0,5707.76275
110,0,5707.76275
111,0,5707.76275
112,0,5707.76275
113,0,5707.76275
114,0,5707.76275
115,0,5707.76275
116,0,5707.76275
117,0,5707.76275
118,0,5707.76275
119,0,5707.76275
120,0,5707.76275
121,0,5707.76275
122,0,5707.76275
123,0,5707.76275
124,0,5707.76275
125,0,5707.76275
126,0,5707.76275
127,0,5707.76275
128,0,5707.76275
129,0,5707.76275
130,0,5707.76275
131,0,5707.76275
132,0,5707.76275
133,0,5707.76275
134,0,5707.76275
135,0,5707.76275
136,0,5707.76275
137,0,5707.76275
138,0,5707.76275
139,0,5707.76275
140,0,5707.76275
141,0,5707.76275
142,0,5707.76275
143,0,5707.76275
144,0,5707.76275
145,0,5707.76275
146,0,5707.76275
147,0,5707.76275
148,0,5707.76275
149,0,5707.76275
150,0,5707.76275
151,0,5707.76275
152,0,5707.76275
153,0,5707.76275
154,0,5707.76275
155,0,5707.76275
156,0,5707.76275
157,0,5707.76275
158,0,5707.76275
159,0,5707.76275
160,0,5707.76275
161,0,5707.76275
162,0,5707.76275
163,0,5707.76275
164,0,5707.76275
165,0,5707.76275
166,0,5707.76275
167,0,5707.76275
168,0,5707.76275
