Time_Index,Electricity_Demand_MW_SE,Electricity_Demand_MW_MIDAT,Electricity_Demand_MW_NE,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,H2_Load_tonneperhr_z1,H2_Load_tonneperhr_z2,H2_Load_tonneperhr_z3,Diesel_Load_mmbtu_z1,Diesel_Load_mmbtu_z2,Diesel_Load_mmbtu_z3,Gasoline_Load_mmbtu_z1,Gasoline_Load_mmbtu_z2,Gasoline_Load_mmbtu_z3,JetFuel_Load_mmbtu_z1,JetFuel_Load_mmbtu_z2,JetFuel_Load_mmbtu_z3,NG_Load_mmbtu_z1,NG_Load_mmbtu_z2,NG_Load_mmbtu_z3,Demand_Zero
1,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
2,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
3,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
4,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
5,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
6,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
7,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
8,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
9,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
10,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
11,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
12,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
13,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
14,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
15,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
16,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
17,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
18,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
19,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
20,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
21,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
22,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
23,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
24,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
25,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
26,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
27,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
28,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
29,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
30,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
31,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
32,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
33,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
34,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
35,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
36,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
37,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
38,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
39,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
40,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
41,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
42,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
